user,game,purchase,play_time
151603712,Fallout 4,1.0,87.0
151603712,Spore,1.0,14.9
151603712,Fallout New Vegas,1.0,12.1
151603712,Left 4 Dead 2,1.0,8.9
151603712,HuniePop,1.0,8.5
151603712,Path of Exile,1.0,8.1
151603712,Poly Bridge,1.0,7.5
151603712,Left 4 Dead,1.0,3.3
151603712,Team Fortress 2,1.0,2.8
151603712,Tomb Raider,1.0,2.5
151603712,The Banner Saga,1.0,2.0
151603712,Dead Island Epidemic,1.0,1.4
151603712,BioShock Infinite,1.0,1.3
151603712,Dragon Age Origins - Ultimate Edition,1.0,1.3
151603712,Fallout 3 - Game of the Year Edition,1.0,0.8
151603712,SEGA Genesis & Mega Drive Classics,1.0,0.8
151603712,Grand Theft Auto IV,1.0,0.6
151603712,Realm of the Mad God,1.0,0.5
151603712,Marvel Heroes 2015,1.0,0.5
151603712,Eldevin,1.0,0.5
151603712,Dota 2,1.0,0.5
151603712,BioShock,1.0,0.5
151603712,Robocraft,1.0,0.4
151603712,Garry's Mod,1.0,0.1
151603712,Jazzpunk,1.0,0.1
187131847,Dota 2,1.0,2.3
59945701,Ultra Street Fighter IV,1.0,238.0
59945701,FINAL FANTASY XIII,1.0,84.0
59945701,The Elder Scrolls V Skyrim,1.0,58.0
59945701,Sid Meier's Civilization V,1.0,22.0
59945701,L.A. Noire,1.0,13.8
59945701,Company of Heroes Tales of Valor,1.0,10.2
59945701,7 Days to Die,1.0,7.8
59945701,Divekick,1.0,7.0
59945701,FINAL FANTASY VII,1.0,5.2
59945701,Orcs Must Die! 2,1.0,4.8
59945701,Killing Floor,1.0,3.4
59945701,Company of Heroes,1.0,3.2
59945701,Bastion,1.0,2.8
59945701,Undertale,1.0,2.6
59945701,Counter-Strike Global Offensive,1.0,2.3
59945701,Orcs Must Die!,1.0,0.7
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,1.0,0.6
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,1.0,0.5
59945701,Skullgirls,1.0,0.4
59945701,Assassin's Creed II,1.0,0.3
59945701,Company of Heroes Opposing Fronts,1.0,0.1
59945701,Team Fortress 2,1.0,0.1
53875128,Grand Theft Auto V,1.0,86.0
53875128,Insurgency,1.0,72.0
53875128,Left 4 Dead 2,1.0,71.0
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,1.0,59.0
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,1.0,54.0
53875128,S.T.A.L.K.E.R. Call of Pripyat,1.0,50.0
53875128,Saints Row The Third,1.0,35.0
53875128,Far Cry 3,1.0,35.0
53875128,S.T.A.L.K.E.R. Clear Sky,1.0,35.0
53875128,Rocket League,1.0,34.0
53875128,Assassin's Creed II,1.0,33.0
53875128,Far Cry 4,1.0,32.0
53875128,Prototype,1.0,25.0
53875128,Space Pirates and Zombies,1.0,24.0
53875128,Dying Light,1.0,23.0
53875128,Just Cause 2,1.0,23.0
53875128,Mirror's Edge,1.0,23.0
53875128,Mad Max,1.0,22.0
53875128,Portal 2,1.0,21.0
53875128,Deus Ex Human Revolution,1.0,21.0
53875128,Middle-earth Shadow of Mordor,1.0,19.6
53875128,RUNNING WITH RIFLES,1.0,18.5
53875128,Deus Ex Human Revolution - Director's Cut,1.0,18.3
53875128,Batman Arkham City GOTY,1.0,16.9
53875128,Tropico 4,1.0,14.3
53875128,Cave Story+,1.0,13.7
53875128,Dust An Elysian Tail,1.0,13.4
53875128,F.E.A.R.,1.0,12.5
53875128,South Park The Stick of Truth,1.0,12.2
